Id,DTADeltaDistance,DTASearchDistance,DTAThreshold,GammaDeltaDoseRatio,ReferenceDose,ReferenceDimensionIndex,GammaDeltaDistance,GammaSearchDistance,GammaThreshold,GammaDoseErrorModeIndex
7F4A0D99-8C9E-46A5-9D4B-000B7B21A3CC,3.0,4.5,0.1,0.02,0.0,4,2.0,4.5,0.1,0
4CEBD6BB-D6E5-4D6E-968B-00FEC3054F74,3.0,4.5,0.1,0.03,0.0,4,3.0,4.5,0.1,0
4C3F5DFC-7F1B-4EC7-8FBA-010CC94F5ABC,3.0,4.5,0.1,0.03,0.0,4,3.0,4.5,0.1,0
B9C61FDF-F172-43CF-A227-01664F0F01EE,3.0,4.5,0.1,0.03,0.0,4,2.0,4.5,0.1,0
DB0E3713-6736-487C-8BCC-0168ADF87FB6,3.0,4.5,0.1,0.03,0.0,4,2.0,4.5,0.1,0
D59A2F51-3928-499B-98EC-01A09722BDCB,3.0,4.5,0.05,0.02,0.0,4,2.0,5.0,0.1,0
C8A5A75C-2EA4-4285-A58E-01E1CC208495,3.0,4.5,0.1,0.03,0.0,4,3.0,4.5,0.1,0
585C0E80-5450-4C2B-ADEA-01E4D8C219EA,3.0,4.5,0.05,0.03,0.0,4,3.0,4.5,0.1,0
E1E5F5E7-F333-440C-AA9F-037B32C31C56,3.0,4.5,0.1,0.03,0.0,4,3.0,4.5,0.1,0
3AF8D3A2-C80C-49AE-892F-03A57397A685,3.0,4.5,0.1,0.03,0.0,4,2.0,4.5,0.1,0
3F7F2150-70F9-4999-A73E-03F76089019A,3.0,4.5,0.1,0.05,0.0,4,1.0,4.5,0.05,0
DDE697C3-F9A6-410E-97EC-0456C1EC7302,3.0,4.5,0.1,0.03,0.0,4,3.0,4.5,0.05,0
48A167BE-B59A-48EA-860A-047BE228B7FF,3.0,4.5,0.1,0.03,0.0,0,3.0,4.5,0.05,0
1B1C0FA6-B06A-4656-A4A9-0484A7798F48,3.0,4.5,0.05,0.03,0.0,4,3.0,4.5,0.1,0
FD36E110-BF23-4FA9-80AB-0489421B2AB4,3.0,4.5,0.1,0.03,0.0,4,1.0,4.5,0.1,0
14BA451F-DE44-49E7-8E96-04DCE4D035F7,3.0,4.5,0.1,0.03,0.0,4,3.0,4.5,0.1,0
1CC713FF-F5F4-4308-B6E3-04EFB86A66F9,3.0,4.5,0.1,0.03,0.0,4,1.0,4.5,0.1,0
